,ForecastCurrent
675,330.916656
676,353.166656
677,327.583344
678,331.083344
679,337.708344
680,315.125
681,334.875
682,238.583328
683,325.958344
684,291.5
685,320.875
686,290.25
687,325.708344
688,314.166656
689,320.458344
690,324.833344
691,351.083344
692,351.208344
693,299.541656
694,329.25
695,359.083344
696,334.5
697,360.166656
698,358.583344
699,348.416656
700,361.5
701,353.5
702,347.625
703,355.5
704,352.958344
705,356.541656
706,354.916656
707,345.625
708,351.875
709,338.25
710,300.25
711,253.916672
712,244.125
713,250.375
714,317.416656
715,334.666656
716,358.625
717,357.0
718,352.5
719,360.041656
720,354.25
721,358.125
722,355.375
723,351.708344
724,358.833344
725,356.25
726,351.25
727,349.833344
728,355.625
729,354.125
730,350.041656
731,301.333344
732,314.583344
733,295.708344
734,220.75
735,217.583328
736,274.541656
737,345.666656
738,328.333344
739,288.875
740,252.791672
741,263.125
742,161.291672
743,328.666656
744,323.458344
745,332.916656
746,348.791656
747,352.458344
748,356.25
749,345.125
750,347.166656
751,251.916672
752,296.083344
753,324.041656
754,270.333344
755,154.625
756,178.291672
757,242.25
758,318.0
759,370.083344
760,352.5
761,358.458344
762,354.166656
763,357.833344
764,357.375
765,355.041656
766,355.041656
767,335.875
768,206.125
769,205.916672
770,255.5
771,355.958344
772,358.416656
773,357.833344
774,346.208344
775,330.916656
776,339.458344
777,329.083344
778,251.666672
779,255.041672
780,176.0
781,110.041664
782,113.75
783,88.0
784,58.0
785,88.458336
786,110.375
787,66.083336
788,50.833332
789,44.583332
790,59.166668
791,53.041668
792,44.833332
793,21.666666
794,19.041666
795,28.25
796,7.541667
797,36.625
798,39.833332
799,58.25
800,117.958336
801,188.375
802,221.083328
803,205.75
804,265.291656
805,248.541672
806,276.958344
807,306.083344
808,356.708344
809,347.125
810,343.75
811,355.541656
812,319.625
813,265.958344
814,220.291672
815,196.541672
816,202.333328
817,231.041672
818,241.625
819,231.25
820,269.875
821,287.583344
822,280.291656
823,269.875
824,260.0
825,205.625
826,266.291656
827,234.166672
828,317.541656
829,327.166656
830,305.416656
831,355.833344
832,356.208344
833,360.708344
834,354.541656
835,358.25
836,261.041656
837,249.666672
838,339.041656
839,264.666656
840,249.375
841,182.416672
842,233.583328
843,149.791672
844,138.083328
845,89.875
846,36.125
847,46.0
848,45.708332
849,79.583336
850,106.375
851,144.75
852,210.083328
853,190.416672
854,231.791672
855,273.916656
856,316.375
857,353.5
858,338.958344
859,324.666656
860,334.625
861,345.416656
862,302.25
863,340.333344
864,247.791672
865,249.541672
866,247.833328
867,240.791672
868,335.916656
869,299.125
870,261.625
871,271.083344
872,256.958344
873,277.041656
874,285.041656
875,262.791656
876,275.583344
877,235.666672
878,249.416672
879,278.083344
880,260.916656
881,291.541656
882,241.375
883,226.583328
884,198.75
885,143.208328
886,75.833336
887,51.833332
888,39.583332
889,11.541667
890,2.625
891,0.0
892,0.0
893,0.0
894,0.0
895,0.041667
896,2.958333
897,6.625
898,9.208333
899,7.75
900,11.041667
901,11.208333
902,16.458334
903,49.291668
904,65.333336
905,115.625
906,140.25
907,144.666672
908,167.75
909,189.166672
910,167.125
911,184.583328
912,180.458328
913,220.375
914,191.666672
915,166.958328
916,184.25
917,219.208328
918,227.041672
919,220.166672
920,229.291672
921,193.333328
922,190.958328
923,151.0
924,111.083336
925,119.708336
926,112.583336
927,183.708328
928,208.583328
929,309.375
930,302.875
931,340.041656
932,335.625
933,307.708344
934,284.666656
935,300.416656
936,286.541656
937,319.041656
938,282.0
939,322.166656
940,366.625
941,363.625
942,352.041656
943,340.166656
944,353.75
945,353.75
946,349.041656
947,355.25
948,345.541656
949,354.875
950,348.916656
951,348.166656
952,348.75
953,354.75
954,305.333344
955,351.0
956,358.458344
957,346.041656
958,348.583344
959,354.583344
960,345.25
961,354.083344
962,345.958344
963,344.791656
964,349.708344
965,343.875
966,249.541672
967,247.041672
968,247.916672
969,349.333344
970,349.25
971,359.375
972,338.458344
973,354.666656
974,348.333344
975,303.916656
976,347.333344
977,258.458344
978,316.25
979,295.916656
980,349.791656
981,312.208344
982,346.875
983,343.125
984,352.791656
985,353.791656
986,356.083344
987,336.291656
988,329.208344
989,349.375
990,346.083344
991,350.875
992,338.416656
993,342.875
994,354.375
995,359.166656
996,350.083344
997,350.416656
998,348.125
999,253.208328
1000,350.291656
1001,353.25
1002,312.25
1003,252.666672
1004,352.666656
1005,349.375
1006,347.708344
1007,348.833344
1008,347.958344
1009,347.875
1010,347.916656
1011,341.541656
1012,259.708344
1013,255.833328
1014,249.958328
1015,300.833344
1016,346.333344
1017,329.208344
1018,355.25
1019,354.916656
1020,346.541656
1021,350.916656
1022,342.291656
1023,353.708344
1024,356.458344
1025,350.708344
1026,349.625
1027,316.625
1028,254.333328
1029,250.208328
1030,245.958328
1031,248.375
1032,249.041672
1033,269.458344
1034,299.875
1035,240.708328
1036,281.75
1037,306.875
1038,289.875
1039,239.875
1040,170.291672
1041,130.0
1042,204.666672
1043,129.0
1044,136.708328
1045,215.208328
1046,183.041672
