,OffshoreWindGe100MW_MWh
1030,252.330856
1031,247.799759
1032,250.490921
1033,255.497925
1034,299.798065
1035,255.134796
1036,316.922241
1037,304.688416
1038,333.891998
1039,302.263885
1040,188.015167
1041,153.454834
1042,189.734467
1043,150.580383
1044,131.002319
1045,163.158325
1046,204.226883
1047,178.867401
1048,270.618134
1049,222.057343
1050,308.907471
1051,317.708679
1052,270.574982
1053,248.773911
1054,175.986877
1055,137.903381
1056,73.71862
1057,28.640129
1058,11.294481
1059,9.510806
1060,12.771138
1061,6.320871
1062,6.88051
1063,5.195472
1064,3.230559
1065,0.72305
1066,0.016684
1067,0.016416
1068,0.0165
1069,0.016597
1070,0.016244
1071,0.016272
1072,0.016215
1073,0.016365
1074,11.160607
1075,46.812309
1076,80.889801
1077,195.15329
1078,302.312622
1079,204.691711
1080,181.88829
1081,295.766113
1082,350.866302
1083,352.447205
1084,353.249207
1085,358.569061
1086,257.310913
1087,250.400604
1088,246.566498
1089,244.574646
1090,310.843658
1091,252.055817
1092,268.092377
1093,337.697723
1094,351.295593
1095,348.264343
1096,349.677032
1097,323.977478
1098,292.557617
1099,355.946716
1100,357.446991
1101,356.137054
1102,356.816711
1103,357.216248
1104,357.326385
1105,357.326569
1106,356.826904
1107,352.326508
1108,352.136017
1109,358.216309
1110,356.726196
1111,359.696411
1112,360.206207
1113,359.925659
1114,358.035828
1115,356.71579
1116,357.705963
1117,359.626038
1118,359.245422
1119,359.056244
1120,358.315979
1121,359.074341
1122,328.353973
1123,290.207794
1124,234.750275
1125,189.851105
1126,359.716217
1127,356.131683
1128,358.294159
1129,359.547638
1130,359.417664
1131,355.117279
1132,352.31778
1133,262.429474
1134,358.477142
1135,358.257904
1136,358.126831
1137,357.807281
1138,357.856995
1139,357.667023
1140,357.466858
1141,359.88681
1142,356.046814
1143,351.856812
1144,299.372345
1145,351.140106
1146,359.557434
1147,350.554016
1148,277.279022
1149,349.696198
1150,318.291321
1151,244.47963
1152,229.829971
1153,234.315399
1154,329.377228
1155,339.38501
1156,255.06813
1157,350.116272
1158,329.875641
1159,335.195862
1160,358.857178
1161,360.709167
1162,360.728943
1163,358.829346
1164,358.629089
1165,354.318665
1166,358.789764
1167,282.707031
1168,337.625641
1169,332.650116
1170,283.740601
1171,278.546051
1172,252.666
1173,251.088608
1174,223.832657
1175,242.560074
1176,262.600067
1177,263.026581
1178,263.946777
1179,264.225952
1180,261.197052
1181,263.373108
1182,340.240753
1183,326.53476
1184,318.047546
1185,328.375732
1186,322.397766
1187,322.14798
1188,327.188202
1189,334.46524
1190,259.963226
1191,148.543701
1192,149.465637
1193,215.119553
1194,259.870819
1195,273.17627
1196,339.674744
1197,343.824249
1198,316.164581
1199,246.109451
1200,178.901978
1201,171.319611
1202,121.495636
1203,163.322098
1204,164.119308
1205,234.306473
1206,276.131104
1207,306.345764
1208,325.737213
1209,345.776459
1210,355.256897
1211,357.348083
1212,358.43869
1213,358.93866
1214,357.938873
1215,359.08902
1216,360.908173
1217,360.52832
1218,360.528259
1219,261.657898
1220,358.657623
1221,328.428101
1222,258.198456
1223,356.929047
1224,348.341003
1225,357.761627
1226,254.151825
1227,350.049347
1228,349.869598
1229,353.458954
1230,353.009125
1231,352.911011
1232,352.913361
1233,352.80365
1234,353.713989
1235,351.327576
1236,325.757141
1237,306.525208
1238,330.813751
1239,339.815369
1240,334.808472
1241,338.795532
1242,352.922028
1243,355.819275
1244,356.018494
1245,351.643463
1246,285.019836
1247,250.937912
1248,348.498962
1249,352.017059
1250,351.82843
1251,348.017395
1252,345.007172
1253,349.707642
1254,349.507477
1255,349.60791
1256,349.497864
1257,349.597687
1258,349.498047
1259,349.517761
1260,349.647675
1261,349.626923
1262,348.827087
1263,347.339355
1264,339.718323
1265,344.210602
1266,346.48764
1267,345.56546
1268,344.82843
1269,344.948029
1270,344.649475
1271,344.959839
1272,343.351807
1273,344.948181
1274,343.181
1275,342.300629
1276,329.817352
1277,340.468658
1278,340.152161
1279,342.580109
1280,252.651031
1281,342.250916
