,offshore_DK2,offshore_DK1,onshore_DK2,onshore_DK1,solar_DK2,realized
1906,0.6891891891891891,0.5941278065630398,0.5570291777188329,0.5837837837837838,81.0,0.6270270270270271
1907,0.7216216216216216,0.6122625215889465,0.5994694960212201,0.5852852852852853,103.0,0.6243243243243243
1908,0.754054054054054,0.6044905008635578,0.629973474801061,0.5762762762762763,109.0,0.745945945945946
1909,0.7945945945945946,0.5889464594127807,0.6352785145888594,0.5522522522522523,120.0,0.6675675675675675
1910,0.8567567567567568,0.5673575129533679,0.610079575596817,0.4933933933933934,106.0,0.518918918918919
1911,0.9054054054054054,0.5397236614853195,0.5822281167108754,0.41921921921921923,75.0,0.527027027027027
1912,0.9135135135135135,0.5094991364421416,0.5397877984084881,0.35375375375375373,38.0,0.6162162162162163
1913,0.9,0.48100172711571676,0.48673740053050396,0.3066066066066066,13.0,0.6783783783783783
1914,0.8513513513513513,0.44559585492227977,0.44562334217506633,0.27057057057057055,1.0,0.7216216216216216
1915,0.7891891891891892,0.41450777202072536,0.41909814323607425,0.23723723723723725,0.0,0.6108108108108108
1916,0.7324324324324324,0.3765112262521589,0.35809018567639256,0.1981981981981982,0.0,0.5621621621621622
1917,0.6567567567567567,0.31519861830742657,0.28779840848806365,0.14624624624624624,0.0,0.6918918918918919
1918,0.5621621621621622,0.21848013816925735,0.22811671087533156,0.1018018018018018,0.0,0.772972972972973
1919,0.46216216216216216,0.13644214162348878,0.17108753315649866,0.062162162162162166,0.0,0.44594594594594594
1920,0.3864864864864865,0.1079447322970639,0.1856763925729443,0.08738738738738738,0.0,0.372972972972973
1921,0.23513513513513515,0.10621761658031088,0.16445623342175067,0.03873873873873874,0.0,0.4081081081081081
1922,0.1864864864864865,0.06476683937823834,0.1206896551724138,0.013513513513513514,0.0,0.2891891891891892
1923,0.14594594594594595,0.037132987910189985,0.07824933687002653,0.009309309309309309,0.0,0.15945945945945947
1924,0.07567567567567568,0.013816925734024179,0.03713527851458886,0.014414414414414415,0.0,0.03783783783783784
1925,0.024324324324324326,0.0034542314335060447,0.009283819628647215,0.03183183183183183,0.0,0.0
1926,0.008108108108108109,0.022452504317789293,0.007957559681697613,0.04714714714714715,3.0,0.0
1927,0.008108108108108109,0.06735751295336788,0.011936339522546418,0.06696696696696697,23.0,0.0
1928,0.013513513513513514,0.10967184801381692,0.026525198938992044,0.08528528528528528,49.0,0.005405405405405406
1929,0.02702702702702703,0.1770293609671848,0.042440318302387266,0.1084084084084084,74.0,0.002702702702702703
1930,0.04594594594594595,0.2374784110535406,0.04376657824933687,0.13003003003003002,98.0,0.0
1931,0.062162162162162166,0.2970639032815199,0.04376657824933687,0.15375375375375375,117.0,0.008108108108108109
1932,0.07837837837837838,0.35578583765112265,0.04907161803713528,0.18228228228228227,127.0,0.01891891891891892
1933,0.08378378378378379,0.4058721934369603,0.0623342175066313,0.2249249249249249,128.0,0.024324324324324326
1934,0.07567567567567568,0.45077720207253885,0.07692307692307693,0.26036036036036037,101.0,0.03783783783783784
1935,0.07297297297297298,0.4939550949913644,0.09549071618037135,0.2933933933933934,69.0,0.03783783783783784
1936,0.07837837837837838,0.5267702936096719,0.10875331564986737,0.3087087087087087,37.0,0.03783783783783784
1937,0.0945945945945946,0.538860103626943,0.11803713527851459,0.3141141141141141,13.0,0.04594594594594595
1938,0.12702702702702703,0.5310880829015544,0.13660477453580902,0.3303303303303303,1.0,0.13243243243243244
1939,0.1837837837837838,0.5259067357512953,0.17506631299734748,0.34234234234234234,0.0,0.22162162162162163
1940,0.2756756756756757,0.5267702936096719,0.24005305039787797,0.36246246246246244,0.0,0.43243243243243246
1941,0.41081081081081083,0.5354058721934369,0.3116710875331565,0.3822822822822823,0.0,0.4864864864864865
1942,0.5351351351351351,0.5414507772020726,0.35278514588859416,0.39159159159159157,0.0,0.41621621621621624
1943,0.6162162162162163,0.5457685664939551,0.3594164456233422,0.3858858858858859,0.0,0.4027027027027027
1944,0.5648648648648649,0.5958549222797928,0.3885941644562334,0.4318318318318318,0.0,0.46756756756756757
1945,0.527027027027027,0.572538860103627,0.3673740053050398,0.43963963963963965,0.0,0.6162162162162163
1946,0.5324324324324324,0.45595854922279794,0.29708222811671087,0.43453453453453456,0.0,0.5486486486486486
