Forward price,Forward bid,Power sold,Power bought,hydrogen produced,Objective values
61.91,0.48247765671907206,0.0,0.34985166202411183,0.0,8.210875331564988
61.36,0.507753758697928,0.02275022008191261,0.0,0.0,32.551724137931025
93.74,0.5900310655799449,0.2853004994067926,0.0,0.0,72.01956233771988
93.61,0.7585022419228722,0.22293011881983338,0.0,0.0,82.58461453909041
71.29,1.175037739781744,0.0,0.3262313737339987,0.0,60.51140583554377
47.32,1.5896103116396132,0.0,0.6612283487748917,0.0,41.68947038041174
47.32,1.8358797237224458,0.0,0.6687709704067959,0.0,53.281462683012776
48.62,1.2464616467233978,0.10632349916519468,0.0,0.0,65.77241379310335
47.98,1.4985399926230727,0.0,1.047611610660208,0.0,21.635543766578245
44.0,1.2829616542271551,0.0,0.8055080733252984,0.0,17.914806558112545
44.0,1.064485752327461,0.686177377646014,0.0,0.0,77.0291777188329
44.0,1.3626007935548576,0.4676379332355933,0.0,0.0,80.53050397877985
45.5,1.7940286692526732,0.0,0.1494663350351666,0.0,74.17441832279287
53.51,2.1913504905799357,0.0,0.7855149468133575,0.0,75.2262599469496
49.86,2.4287962737173223,0.0,1.1821119235846964,0.0,41.933746685078575
133.92,2.406051681112982,0.0,0.8145397447734597,0.0,213.13527851458883
93.74,2.504416684224203,0.0,0.9924803447016568,0.0,141.7289124668435
93.74,2.9870254388664157,0.0,1.1037363141979808,0.0,176.5395225464191
69.52,3.583622255579334,0.0,1.0372031574360978,0.0,177.02705570291778
67.13,3.800148987514836,0.0,1.4924566798225265,0.0,154.91538461538477
65.15,3.4657940748436213,0.0,0.30929540110356823,0.0,205.6458885941645
49.4,3.245084750055903,0.0,1.3617956253874681,0.0,77.26488941663379
49.86,3.8503458760343974,0.0,1.3569771757691456,0.0,119.71921076936805
53.26,5.67607937253378,0.0,0.29146398791839623,0.0,286.78461538461534
53.0,8.16162682277263,0.2999116387658347,0.0,0.0,448.4615384615386
51.32,9.503579794920654,0.31074381250640215,0.0,0.0,503.67108753315654
50.89,9.747807353732835,0.0930414526332175,0.0,0.0,500.8007957559684
50.6,9.874615013122495,0.0,0.03376620675644304,0.0,497.9469496021223
50.03,9.905042337053667,0.0,0.06419353068761424,0.0,492.3376657824936
21.15,0.0,0.0,0.26525198938992034,10.0,346.3899204244031
14.38,0.0,0.0,0.4509283819628642,10.0,345.51564986737395
17.94,0.0,0.0,0.18567639257294388,10.0,348.6689655172413
0.0,0.0,0.0,0.2387267904509276,10.0,347.00822281167103
7.78,0.0,0.0,0.37135278514588776,10.0,349.11087533156496
14.33,0.0,0.0,0.21220159151193663,10.0,348.9591511936339
18.56,0.0,0.0,0.318302387267904,10.0,346.09230769230766
50.83,9.788067611842788,0.0,0.07984480017169915,0.0,493.46896551724143
35.81,9.87240562147662,0.0,0.0846072129885531,0.0,350.5010610079577
43.87,9.921830149802336,0.0,0.21360733813124355,0.0,425.8997347480108
46.93,9.9427769706605,0.0,0.36718015368437307,0.0,449.38275862068963
53.57,9.99765882020746,0.0,0.5016376000483103,0.0,508.70185676392566
53.96,9.997990196701714,0.0,0.36934298184760195,0.0,519.5618037135279
53.96,10.015740249061901,0.0,0.334042636329805,0.0,522.4244031830239
43.94,9.99421307498325,0.0,0.2329398654341812,0.0,428.9103448275861
43.21,9.965709106064217,0.0,0.15138549863716122,0.0,424.0769230769231
43.81,9.966156442324923,0.0,0.2844588295928272,0.0,424.15517241379314
3.35,0.0,0.0,0.0,9.814323607427056,345.46419098143235
6.7,0.0,0.0,0.0,9.787798408488063,344.5305039787798
52.94,10.05998335236471,0.0,0.325235341754631,0.0,515.3575596816976
52.94,10.064631605488888,0.0,0.38293399275679185,0.0,512.5490716180371
37.94,10.07764207454014,0.0,0.26331846711308415,0.0,372.35543766578246
51.81,10.081175804706234,0.0,0.24032699834018165,0.0,509.8543766578252
51.8,10.108921795028667,0.0,0.29459818760161127,0.0,508.3819628647215
51.8,10.080296050261808,0.0,0.5842748301026575,0.0,491.89389920424395
50.39,10.053546539991796,0.0,0.7697269113445806,0.0,467.8116710875332
20.04,0.0,0.0,0.7161803713527845,10.0,337.64774535809016
7.24,0.0,0.0,0.7161803713527846,10.0,346.8148541114058
3.43,0.0,0.0,0.7161803713527846,10.0,349.5435013262599
