Forward price,Forward bid,Power sold,Power bought,hydrogen produced
22.04,0.0,0.0,2.7851458885941653,10.0
18.37,0.0,0.0,2.838196286472149,10.0
22.09,0.0,0.0,2.8912466843501328,10.0
23.35,0.0,0.0,3.023872679045093,10.0
45.6,5.348171166864213,0.24864580926310872,0.0,0.0
45.6,4.5191463354227075,0.0,0.4873160966959169,0.0
46.11,3.5853152548777154,0.0,1.3306733450633916,0.0
46.11,3.445177699629925,0.0,1.0844349940596332,0.0
46.11,3.059196518287367,0.0,1.175907393618932,0.0
51.36,2.486192526060707,0.0,0.7885797939652164,0.0
47.12,2.023233218144634,0.1253078959137195,0.0,0.0
47.12,1.5861057708503328,0.5093849453300385,0.0,0.0
47.12,1.282564392086593,0.7333507272768023,0.0,0.0
48.0,1.0895516236602285,0.5815359094962702,0.0,0.0
