Forward price,Forward bid,Power sold,Power bought,Objective values
48.79,8.46907172656648,0.39034471905686274,0.0,432.25092838196286
48.29,7.880473398177287,0.7402162569951258,0.0,416.2931034482758
46.78,7.261646327829226,0.6959133538683879,0.0,372.2546419098144
45.78,6.858678965605292,0.0,2.0310927587087404,209.18593669603928
45.0,6.349535237289146,0.0,3.40523815506103,110.66579212632405
45.0,6.43735709391118,0.0,2.1668000647334607,177.67917387993054
46.78,7.012101306577613,0.0,1.1765575399993642,266.1509380931342
46.78,7.637546587826502,0.7974666747729707,0.0,394.5899204244034
46.28,8.129057998011794,0.6773080497335631,0.0,407.55862068965513
46.28,8.185560052160643,0.2229280114998362,0.0,389.144827586207
44.5,8.076821369189798,0.2786162965926948,0.0,371.8169761273209
44.27,8.068546848478475,0.47256720987696177,0.0,378.1151193633952
