Forward price,Forward bid,Power sold,Power bought,hydrogen scheduled,lambda_DW,lambda_UP,E_real,E_forecast
60.16,0.5849328329183949,0.0,2.5842453661101903,2.7154929045445804,60.16,60.16,0.7161803713527852,E_forecast[115]
58.01,0.4956477229402087,0.0,2.8101500440677674,2.8184811009684076,58.01,58.01,0.5039787798408488,E_forecast[116]
47.63,0.4366685241093695,0.0,3.382539453573398,3.290698515670925,52.75,47.63,0.3448275862068966,E_forecast[117]
46.62,0.39469525780872733,0.0,3.60571031584263,3.343641052728863,51.9,46.62,0.13262599469496023,E_forecast[118]
45.1,0.33329180935117064,0.0,3.6775238113820805,3.423807598847886,51.13,45.1,0.07957559681697612,E_forecast[119]
44.59,0.23288541086536407,0.0,3.6944112909248297,3.4615258800594657,50.21,44.59,0.0,E_forecast[120]
43.76,0.05170368950315174,0.0,3.550665425529002,3.5254869349648423,50.29,43.76,0.02652519893899204,E_forecast[121]
43.25,0.015029928402018333,0.0,3.5434825526206684,3.554977823157642,49.03,43.25,0.02652519893899204,E_forecast[122]
42.4,0.0,0.0,3.598210652082217,3.598210652082217,48.81,42.4,0.0,E_forecast[123]
41.0,0.015371534177763713,0.0,3.6800410919733424,3.6646695577955786,48.66,41.0,0.0,E_forecast[124]
41.0,0.0017141560719450277,0.0,3.668202035626205,3.66648787955426,47.82,41.0,0.0,E_forecast[125]
41.0,0.03490196629920428,0.0,3.6969712731968647,3.6620693068976604,48.72,41.0,0.0,E_forecast[126]
41.0,0.008713229549407897,0.0,3.6742692635110457,3.665556033961638,49.38,41.0,0.0,E_forecast[127]
43.25,0.01637571329193932,0.0,3.571174360774068,3.5547986474821287,49.65,43.25,0.0,E_forecast[128]
43.76,0.020713487475987113,0.0,3.5503264090112614,3.5296129215352745,50.44,43.76,0.0,E_forecast[129]
44.9,0.07680051185717585,0.0,3.5442944095067954,3.4674938976496197,53.4,44.9,0.0,E_forecast[130]
48.0,0.15570105632861042,0.0,3.440030662870416,3.3108548054807976,52.35,48.0,0.02652519893899204,E_forecast[131]
97.65,0.6069378354728746,0.0,1.9848083803051049,1.4043957437712224,97.65,52.77,0.02652519893899204,E_forecast[132]
93.74,0.5899267763970303,0.0,2.1082504596930987,1.5183236832960683,93.74,52.86,0.0,E_forecast[133]
73.66,0.4015391831152535,0.0,2.4766543805810928,2.2077411921607997,73.66,52.44,0.13262599469496023,E_forecast[134]
46.38,0.31509445481884923,0.0,3.6275921377359124,3.365548080795047,51.52,46.38,0.05305039787798408,E_forecast[135]
47.0,0.3330883073952428,0.0,3.6670699826398034,3.333981675244561,51.57,47.0,0.0,E_forecast[136]
48.85,0.331787736496057,0.0,3.5532377798322354,3.2479752422751704,53.4,48.85,0.02652519893899204,E_forecast[137]
61.91,0.3603619249403286,0.0,2.9002635915563486,2.6725276613109803,61.91,61.91,0.13262599469496023,E_forecast[138]
61.36,0.3760884580706486,0.0,2.5387940105625035,2.6932095312716955,61.36,61.36,0.5305039787798409,E_forecast[139]
93.74,0.7364700809408498,0.0,1.3599516550464172,1.498813139092305,93.74,58.57,0.8753315649867375,E_forecast[140]
93.61,0.8552560334679992,0.0,1.360633509762311,1.4868098370370175,93.61,51.95,0.9814323607427056,E_forecast[141]
71.29,0.9114678721217674,0.0,2.2909600559855736,2.2282985499115515,71.29,51.57,0.8488063660477453,E_forecast[142]
47.32,1.122362235655212,0.0,3.407880152393287,3.2138998796027964,50.71,47.32,0.9283819628647215,E_forecast[143]
47.32,1.2987324875242159,0.0,3.3220419569316375,3.1904182227230713,50.23,47.32,1.16710875331565,E_forecast[144]
48.62,0.876653661257872,0.0,2.709945090594447,3.186076575225169,48.62,48.62,1.3527851458885942,E_forecast[145]
47.98,1.0570964405697119,0.0,3.7979436864548037,3.1917756278479565,47.98,47.98,0.45092838196286467,E_forecast[146]
44.0,0.9050443618754538,0.0,3.8279189159533575,3.4003281349797607,47.84,44.0,0.47745358090185674,E_forecast[147]
44.0,0.7485789303000685,0.0,2.419075495838003,3.4211596955114096,46.96,44.0,1.750663129973475,E_forecast[148]
44.0,0.9620793583984211,0.0,2.5245752171977616,3.3927345855897912,48.09,44.0,1.830238726790451,E_forecast[149]
45.5,1.269589615050661,0.0,2.9051480432731007,3.2801207624399464,49.87,45.5,1.6445623342175066,E_forecast[150]
53.51,1.5582626445942889,0.0,3.0257555206806233,2.8733284198529128,53.51,53.51,1.4058355437665782,E_forecast[151]
49.86,1.7239391413089804,0.0,3.4933767788994916,3.016121987723137,66.97,49.86,1.246684350132626,E_forecast[152]
133.92,2.86827704664842,0.0,1.619228124620816,0.3424630143119183,133.92,72.85,1.5915119363395225,E_forecast[153]
93.74,2.1074916417553973,0.0,1.9118327952930565,1.3162774930602055,93.74,73.13,1.5119363395225462,E_forecast[154]
93.74,2.4531205482872562,0.0,1.8400924297437828,1.2702610061249615,93.74,72.32,1.883289124668435,E_forecast[155]
69.52,2.62390625002189,0.0,2.1452333154655348,2.0677461635868806,69.52,69.52,2.546419098143236,E_forecast[156]
67.13,2.7636392429847483,0.0,2.598026709763162,2.1420797744707216,67.13,67.13,2.307692307692308,E_forecast[157]
65.15,2.5128361876434897,0.0,1.6104354669810284,2.2540979530775918,65.15,65.15,3.156498673740053,E_forecast[158]
49.4,2.308283899052101,0.0,3.384450519304809,2.9594557449211427,60.98,49.4,1.883289124668435,E_forecast[159]
